34, 1393, 8, 39161, 217, 8, 4.01433e+06, 2.46384
99, 1632, 5, 38619, 561, 5, 4.01432e+06, 6.89552
173, 1941, 5, 37842, 768, 5, 4.01432e+06, 11.5902
242, 2171, 5, 37089, 839, 5, 4.01431e+06, 15.4658
308, 2380, 5, 36489, 791, 5, 4.01431e+06, 19.1469
368, 2542, 5, 35878, 760, 5, 4.01431e+06, 21.847
383, 2608, 5, 35781, 713, 5, 4.01431e+06, 23.239
429, 2712, 5, 35420, 666, 5, 4.0143e+06, 25.4891
489, 2867, 5, 35046, 643, 5, 4.0143e+06, 28.7517
548, 3042, 4, 34654, 612, 4, 4.0143e+06, 32.2078
610, 3212, 5, 34277, 597, 5, 4.01429e+06, 35.0632
670, 3381, 5, 33968, 578, 5, 4.01429e+06, 38.2106
728, 3555, 5, 33682, 554, 5, 4.01429e+06, 41.4896
785, 3692, 6, 33401, 531, 7, 4.01429e+06, 44.0747
844, 3891, 6, 33146, 544, 6, 4.01428e+06, 47.0389
893, 4066, 6, 32933, 545, 6, 4.01428e+06, 49.5172
927, 4163, 6, 32812, 472, 7, 4.01428e+06, 50.6796
964, 4256, 6, 32640, 489, 6, 4.01428e+06, 52.1048
1005, 4406, 7, 32505, 458, 7, 4.01428e+06, 53.5873
1048, 4548, 6, 32348, 446, 6, 4.01427e+06, 55.0791
1094, 4683, 7, 32161, 446, 8, 4.01427e+06, 57.7233
1139, 4802, 6, 31945, 474, 6, 4.01427e+06, 59.025
1190, 4932, 7, 31715, 466, 8, 4.01427e+06, 60.3551
1241, 5100, 8, 31525, 441, 10, 4.01427e+06, 62.1526
1287, 5218, 7, 31331, 427, 7, 4.01427e+06, 63.1029
1333, 5360, 8, 31139, 478, 9, 4.01427e+06, 64.6696
1377, 5484, 7, 30966, 473, 8, 4.01426e+06, 65.9971
1382, 5485, 6, 30940, 455, 6, 4.01426e+06, 66.0243
1426, 5604, 5, 30767, 437, 5, 4.01426e+06, 67.2712
1472, 5729, 7, 30576, 438, 8, 4.01426e+06, 68.707
1519, 5888, 4, 30400, 421, 4, 4.01426e+06, 69.7673
1566, 6062, 4, 30217, 437, 4, 4.01426e+06, 70.4791
1614, 6190, 5, 30039, 391, 6, 4.01426e+06, 71.1157
1661, 6333, 4, 29881, 411, 4, 4.01426e+06, 71.88
1706, 6457, 4, 29706, 419, 4, 4.01426e+06, 73.5492
1749, 6602, 5, 29547, 407, 6, 4.01425e+06, 74.7816
1791, 6747, 4, 29389, 405, 4, 4.01425e+06, 76.6348
1834, 6897, 3, 29219, 411, 3, 4.01425e+06, 77.5562
1876, 6988, 2, 29044, 392, 2, 4.01425e+06, 77.4342
1918, 7117, 2, 28881, 392, 2, 4.01425e+06, 78.8208
1961, 7190, 2, 28698, 380, 2, 4.01425e+06, 79.1774
2003, 7325, 5, 28524, 402, 7, 4.01425e+06, 80.3782
2046, 7418, 4, 28349, 414, 6, 4.01425e+06, 80.4685
2084, 7538, 4, 28195, 408, 5, 4.01425e+06, 81.0699
2126, 7649, 3, 28013, 403, 3, 4.01425e+06, 81.9373
2166, 7739, 4, 27876, 420, 4, 4.01425e+06, 83.2814
2198, 7807, 3, 27732, 414, 3, 4.01425e+06, 84.2237
2233, 7872, 3, 27596, 406, 5, 4.01425e+06, 84.1185
2269, 7947, 3, 27462, 399, 4, 4.01424e+06, 84.8117
2306, 8025, 2, 27331, 407, 3, 4.01424e+06, 85.2652
2345, 8093, 1, 27195, 396, 1, 4.01424e+06, 85.3917
2382, 8186, 3, 27033, 401, 4, 4.01424e+06, 86.0144
2384, 8195, 2, 27028, 401, 3, 4.01424e+06, 85.9691
2421, 8263, 3, 26868, 393, 5, 4.01424e+06, 86.4199
2454, 8340, 0, 26751, 410, 0, 4.01424e+06, 87.1567
2492, 8441, 1, 26588, 420, 2, 4.01424e+06, 87.8917
2531, 8523, 0, 26437, 408, 0, 4.01424e+06, 88.5509
2570, 8615, 1, 26275, 418, 2, 4.01424e+06, 88.9853
